"instituteName","adminId","project_cnt","email","firstName","lastName","created",
"DURGAPUR","1063","67","arenaanimation.durgapur@gmail.com","DURGAPUR","Admin","0000-00-00 00:00:00",
"BALLYGUNJ-B-KOLKATA","1144","0","hr.arenahouse@gmail.com","BALLYGUNJ-B-KOLKATA","Admin","0000-00-00 00:00:00",
"BARASAT-KOLKATA","1065","59","debashmita.arenabarasat@gmail.com","BARASAT-KOLKATA","Admin","0000-00-00 00:00:00",
"KOLKATA-BARRACKPORE","1066","37","opkedia2014@gmail.com","KOLKATA-BARRACKPORE","Admin","0000-00-00 00:00:00",
"GARIA-B-KOLKATA","1146","26","arenagaria1@gmail.com","GARIA-B-KOLKATA","Admin","0000-00-00 00:00:00",
"HOWRAH","1150","170","arenadmc.howrah@gmail.com","HOWRAH","Admin","0000-00-00 00:00:00",
"KOLKATA-JODHPUR PARK","1148","261","arenaanimationjpark@gmail.com","KOLKATA-JODHPUR PARK","Admin","0000-00-00 00:00:00",
"KOLKATA-KANKURGACHI","1070","989","arenakankurgachi@gmail.com","KOLKATA-KANKURGACHI","Admin","0000-00-00 00:00:00",
"KOLKATA-NEW ALIPORE","1145","332","arenanewalipore@gmail.com","ARENA NEW ALIPORE","Admin","0000-00-00 00:00:00",
"SALT LAKE-KOLKATA","1062","140","arenasec5@gmail.com","SALT LAKE-KOLKATA","Admin","0000-00-00 00:00:00",
"KOLKATA-ULTADANGA","1067","424","arena.ultadanga@gmail.com","KOLKATA-ULTADANGA","Admin","0000-00-00 00:00:00",
"SILIGURI-COLLEGEPARA","1069","73","arena1slg@gmail.com","Arena Animation","Collegepara","0000-00-00 00:00:00",
"GUWAHATI-PAN BAZAR","1080","0","arenaanimationpanbazar@gmail.com","GUWAHATI-PAN BAZAR","Admin","0000-00-00 00:00:00",
"SHILLONG","1071","0","globalshillong@gmail.com","SHILLONG","Admin","0000-00-00 00:00:00",
"BAPUJI NAGAR B-BHUBANESWAR","1154","115","arenaanimationbpn@gmail.com","BAPUJI NAGAR-B-BHUBANESWAR","Admin","0000-00-00 00:00:00",
"DHANBAD","1153","8","dhanbad.arena@gmail.com","DHANBAD","Arena","0000-00-00 00:00:00",
"HAZARIBAG","867","0","kaustubhpatil2790@gmail.com","ARENA","INSTADMIN","0000-00-00 00:00:00",
"CHOWRINGHEE-KOLKATA","1068","0","info@arenach.com","CHOWRINGHEE-KOLKATA","Admin","0000-00-00 00:00:00",
"KOLKATA-PARK STREET","1149","0","arenaparkstreet@gmail.com","KOLKATA-PARK STREET","Admin","0000-00-00 00:00:00",
"SHYAMBAZAR-KOLKATA","1064","0","arenash007@gmail.com","ARENA ANIMATION","SHYAMBAZAR KOLKATA","0000-00-00 00:00:00",
"PATNA-KANKARBAGH","1155","186","9yogiraj@gmail.com","PATNA-KANKARBAGH","Admin","0000-00-00 00:00:00",
"RANCHI-JHARKHAND","1152","639","arena.ranchi.plc@gmail.com","RANCHI-JHARKHAND","Admin","0000-00-00 00:00:00",
"KOLKATA-SALT LAKE, SEC-5","867","0","kaustubhpatil2790@gmail.com","ARENA","INSTADMIN","0000-00-00 00:00:00",
"SEALDAH-KOLKATA","1147","865","arenaanimationsealdah@gmail.com","SEALDAH-KOLKATA","Admin","0000-00-00 00:00:00",
"SILIGURI-SEVOKE ROAD","1079","29","arena.sevokeroad71@gmail.com","SILIGURI-SEVOKE ROAD","Admin","0000-00-00 00:00:00",
"KHARAGPUR","8722","125","arenakharagpur@gmail.com","ARENA ANIMATION","KHARAGPUR","0000-00-00 00:00:00",
"ARENA ANIMATION, UTTARPARA","1151","280","uniquecourses@gmail.com","HOOGLY","UTTARPARA","0000-00-00 00:00:00",
"PATNA-DAKBUNGLOW ROAD","1200","10"," Ajayarena67@gmail.com","PATNA-DAKBUNGLOW ROAD","Admin","0000-00-00 00:00:00",
"SAHID NAGAR-BHUBANESWAR","1201","41","arena.sahidnagar@gmail.com","SAHID NAGAR-BHUBANESWAR","Admin","0000-00-00 00:00:00",
"DANAPUR","867","0","kaustubhpatil2790@gmail.com","ARENA","INSTADMIN","0000-00-00 00:00:00",
"BIHAR-MUZAFFARPUR","867","0","kaustubhpatil2790@gmail.com","ARENA","INSTADMIN","0000-00-00 00:00:00",
"SASARAM-BIHAR","867","0","kaustubhpatil2790@gmail.com","ARENA","INSTADMIN","0000-00-00 00:00:00",
"ASANSOL","867","0","kaustubhpatil2790@gmail.com","ARENA","INSTADMIN","0000-00-00 00:00:00",
"GAYA - BIHAR","8899","80","arenagaya.animationcreos@gmail.com","Arena","Gaya","0000-00-00 00:00:00",
"Arena Animation Jamshedpur","6642","263","arenajamshedpur@gmail.com","ARENA","JAMSHEDPUR","2018-08-29 16:27:55",
"GARIAHAT-KOLKATA","10093","51","arenagariahat@gmail.com","arena","animation gariahat","2018-09-11 13:55:11",
"MALDA","6768","5","malda6494@gmail.com","admin","admin","2018-09-11 15:10:28",
"ASANSOL-B","6760","2","asansolb2@gmail.com","admin","admin","2018-09-11 15:15:17",
"GUWAHATI-ZOO ROAD","6763","1","guwahatizooraod@gmail.com","admin","admin","2018-09-11 15:17:04",
"Bankura","10991","0","arenabankura@gmail.com","Arena Bankura","","2019-03-08 14:53:51",
