"instituteName","adminId","project_cnt","email","firstName","lastName","created",
"DURGAPUR","1063","59","arenaanimation.durgapur@gmail.com","DURGAPUR","Admin","0000-00-00 00:00:00",
"BALLYGUNJ-B-KOLKATA","1144","0","hr.arenahouse@gmail.com","BALLYGUNJ-B-KOLKATA","Admin","0000-00-00 00:00:00",
"BARASAT-KOLKATA","1065","55","debashmita.arenabarasat@gmail.com","BARASAT-KOLKATA","Admin","0000-00-00 00:00:00",
"KOLKATA-BARRACKPORE","1066","19","opkedia2014@gmail.com","KOLKATA-BARRACKPORE","Admin","0000-00-00 00:00:00",
"GARIA-B-KOLKATA","1146","20","arenagaria1@gmail.com","GARIA-B-KOLKATA","Admin","0000-00-00 00:00:00",
"HOWRAH","1150","165","arenadmc.howrah@gmail.com","HOWRAH","Admin","0000-00-00 00:00:00",
"KOLKATA-JODHPUR PARK","1148","248","arenaanimationjpark@gmail.com","KOLKATA-JODHPUR PARK","Admin","0000-00-00 00:00:00",
"KOLKATA-KANKURGACHI","1070","918","arenakankurgachi@gmail.com","KOLKATA-KANKURGACHI","Admin","0000-00-00 00:00:00",
"KOLKATA-NEW ALIPORE","1145","252","arenanewalipore@gmail.com","ARENA NEW ALIPORE","Admin","0000-00-00 00:00:00",
"SALT LAKE-KOLKATA","1062","127","arenasec5@gmail.com","SALT LAKE-KOLKATA","Admin","0000-00-00 00:00:00",
"KOLKATA-ULTADANGA","1067","409","arena.ultadanga@gmail.com","KOLKATA-ULTADANGA","Admin","0000-00-00 00:00:00",
"SILIGURI-COLLEGEPARA","1069","68","arena1slg@gmail.com","SILIGURI-COLLEGEPARA","Admin","0000-00-00 00:00:00",
"GUWAHATI-PAN BAZAR","1080","0","arenaanimationpanbazar@gmail.com","GUWAHATI-PAN BAZAR","Admin","0000-00-00 00:00:00",
"SHILLONG","1071","0","globalshillong@gmail.com","SHILLONG","Admin","0000-00-00 00:00:00",
"BAPUJI NAGAR B-BHUBANESWAR","1154","105","arenaanimationbpn@gmail.com","BAPUJI NAGAR-B-BHUBANESWAR","Admin","0000-00-00 00:00:00",
"DHANBAD","1153","7","dhanbad.arena@gmail.com","DHANBAD","Arena","0000-00-00 00:00:00",
"HAZARIBAG","867","0","kaustubhpatil2790@gmail.com","ARENA","INSTADMIN","0000-00-00 00:00:00",
"CHOWRINGHEE-KOLKATA","1068","0","info@arenach.com","CHOWRINGHEE-KOLKATA","Admin","0000-00-00 00:00:00",
"KOLKATA-PARK STREET","1149","0","arenaparkstreet@gmail.com","KOLKATA-PARK STREET","Admin","0000-00-00 00:00:00",
"SHYAMBAZAR-KOLKATA","1064","0","arenash007@gmail.com","ARENA ANIMATION","SHYAMBAZAR KOLKATA","0000-00-00 00:00:00",
"PATNA-KANKARBAGH","1155","57","9yogiraj@gmail.com","PATNA-KANKARBAGH","Admin","0000-00-00 00:00:00",
"RANCHI-JHARKHAND","1152","608","arena.ranchi.plc@gmail.com","RANCHI-JHARKHAND","Admin","0000-00-00 00:00:00",
"KOLKATA-SALT LAKE, SEC-5","867","0","kaustubhpatil2790@gmail.com","ARENA","INSTADMIN","0000-00-00 00:00:00",
"SEALDAH-KOLKATA","1147","708","arenaanimationsealdah@gmail.com","SEALDAH-KOLKATA","Admin","0000-00-00 00:00:00",
"SILIGURI-SEVOKE ROAD","1079","29","arena.sevokeroad71@gmail.com","SILIGURI-SEVOKE ROAD","Admin","0000-00-00 00:00:00",
"KHARAGPUR","8722","124","arenakharagpur@gmail.com","ARENA ANIMATION","KHARAGPUR","0000-00-00 00:00:00",
"ARENA ANIMATION, UTTARPARA","1151","243","uniquecourses@gmail.com","HOOGLY","UTTARPARA","0000-00-00 00:00:00",
"PATNA-DAKBUNGLOW ROAD","1200","10"," Ajayarena67@gmail.com","PATNA-DAKBUNGLOW ROAD","Admin","0000-00-00 00:00:00",
"SAHID NAGAR-BHUBANESWAR","1201","26","arena.sahidnagar@gmail.com","SAHID NAGAR-BHUBANESWAR","Admin","0000-00-00 00:00:00",
"DANAPUR","867","0","kaustubhpatil2790@gmail.com","ARENA","INSTADMIN","0000-00-00 00:00:00",
"BIHAR-MUZAFFARPUR","867","0","kaustubhpatil2790@gmail.com","ARENA","INSTADMIN","0000-00-00 00:00:00",
"SASARAM-BIHAR","867","0","kaustubhpatil2790@gmail.com","ARENA","INSTADMIN","0000-00-00 00:00:00",
"ASANSOL","867","0","kaustubhpatil2790@gmail.com","ARENA","INSTADMIN","0000-00-00 00:00:00",
"GAYA - BIHAR","8899","54","arenagaya.animationcreos@gmail.com","Arena","Gaya","0000-00-00 00:00:00",
"Arena Animation Jamshedpur","6642","230","arenajamshedpur@gmail.com","ARENA","JAMSHEDPUR","2018-08-29 16:27:55",
"GARIAHAT-KOLKATA","10093","41","arenagariahat@gmail.com","arena","animation gariahat","2018-09-11 13:55:11",
"MALDA","6768","5","malda6494@gmail.com","admin","admin","2018-09-11 15:10:28",
"ASANSOL-B","6760","1","asansolb2@gmail.com","admin","admin","2018-09-11 15:15:17",
