"instituteName","adminId","project_cnt","email","firstName","lastName","created",
"BALLYGUNJ-B-KOLKATA","1144","0","hr.arenahouse@gmail.com","BALLYGUNJ-B-KOLKATA","Admin","0000-00-00 00:00:00",
"BARASAT-KOLKATA","1065","55","debashmita.arenabarasat@gmail.com","BARASAT-KOLKATA","Admin","0000-00-00 00:00:00",
"KOLKATA-BARRACKPORE","1066","19","opkedia2014@gmail.com","KOLKATA-BARRACKPORE","Admin","0000-00-00 00:00:00",
"GARIA-B-KOLKATA","1146","20","arenagaria1@gmail.com","GARIA-B-KOLKATA","Admin","0000-00-00 00:00:00",
"HOWRAH","1150","165","arenadmc.howrah@gmail.com","HOWRAH","Admin","0000-00-00 00:00:00",
"KOLKATA-JODHPUR PARK","1148","248","arenaanimationjpark@gmail.com","KOLKATA-JODHPUR PARK","Admin","0000-00-00 00:00:00",
"KOLKATA-KANKURGACHI","1070","918","arenakankurgachi@gmail.com","KOLKATA-KANKURGACHI","Admin","0000-00-00 00:00:00",
"KOLKATA-NEW ALIPORE","1145","253","arenanewalipore@gmail.com","ARENA NEW ALIPORE","Admin","0000-00-00 00:00:00",
"SALT LAKE-KOLKATA","1062","127","arenasec5@gmail.com","SALT LAKE-KOLKATA","Admin","0000-00-00 00:00:00",
"KOLKATA-ULTADANGA","1067","409","arena.ultadanga@gmail.com","KOLKATA-ULTADANGA","Admin","0000-00-00 00:00:00",
"HAZARIBAG","867","0","kaustubhpatil2790@gmail.com","ARENA","INSTADMIN","0000-00-00 00:00:00",
"CHOWRINGHEE-KOLKATA","1068","0","info@arenach.com","CHOWRINGHEE-KOLKATA","Admin","0000-00-00 00:00:00",
"KOLKATA-PARK STREET","1149","0","arenaparkstreet@gmail.com","KOLKATA-PARK STREET","Admin","0000-00-00 00:00:00",
"SHYAMBAZAR-KOLKATA","1064","0","arenash007@gmail.com","ARENA ANIMATION","SHYAMBAZAR KOLKATA","0000-00-00 00:00:00",
"KOLKATA-SALT LAKE, SEC-5","867","0","kaustubhpatil2790@gmail.com","ARENA","INSTADMIN","0000-00-00 00:00:00",
"SEALDAH-KOLKATA","1147","708","arenaanimationsealdah@gmail.com","SEALDAH-KOLKATA","Admin","0000-00-00 00:00:00",
"GARIAHAT-KOLKATA","10093","41","arenagariahat@gmail.com","arena","animation gariahat","2018-09-11 13:55:11",
